City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,georgetown,5.4112,100.3354,29.970000000000027,66,20,1.54,MY,1678017647
300,buin,-33.7333,-70.75,25.060000000000002,26,0,0.8,CL,1678017647
301,lethem,3.3803,-59.7968,25.860000000000014,70,87,5.2,GY,1678017647
302,qaqortoq,60.7167,-46.0333,-0.13999999999998636,73,72,4.59,GL,1678017647
303,simpang,-1.2667,104.0833,23.74000000000001,90,83,1.58,ID,1678017648
304,yaan,7.3833,8.5667,37.32000000000005,32,86,1.8,NG,1678017648
305,ketchikan,55.3422,-131.6461,-4.229999999999961,79,14,3.45,US,1678017648
306,verkhoturye,58.8627,60.8054,-0.40999999999996817,95,100,2.17,RU,1678017616
307,mangai,-4.05,19.5333,37.28000000000003,32,87,0.71,CD,1678017649
308,husavik,66.0449,-17.3389,-2.9899999999999523,85,100,3.05,IS,1678017649
309,batemans bay,-35.7167,150.1833,22.28000000000003,91,51,2.02,AU,1678017649
310,el reno,35.5323,-97.955,10.740000000000009,87,0,8.23,US,1678017649
311,methoni,36.8197,21.7049,13.920000000000016,73,51,9.26,GR,1678017650
312,andilamena,-17.0167,48.5833,20.390000000000043,89,98,3.53,MG,1678017650
313,amarillo,35.222,-101.8313,5.689999999999998,61,35,2.24,US,1678017474
314,bose,45.4612,8.0137,14.57000000000005,54,37,1.67,IT,1678017650
315,chokurdakh,70.6333,147.9167,-42.73999999999998,100,27,1.49,RU,1678017650
316,longyearbyen,78.2186,15.6401,-18.089999999999975,65,75,5.14,SJ,1678017388
317,abong mbang,3.9833,13.1833,38.93000000000001,22,24,1.29,CM,1678017651
318,rawson,-43.3002,-65.1023,24.04000000000002,37,71,7.92,AR,1678017651
319,poum,-20.2333,164.0167,26.430000000000007,78,61,4.54,NC,1678017651
320,tautira,-17.7333,-149.15,26.450000000000045,80,73,7.01,PF,1678017651
321,baruun-urt,46.6806,113.2792,0.7600000000000477,42,40,1.78,MN,1678017652
322,pundaguitan,6.3711,126.1689,26.620000000000005,83,88,5.28,PH,1678017652
323,klerksdorp,-26.8521,26.6667,31.160000000000025,28,35,6.35,ZA,1678017616
324,rach gia,10.0167,105.0833,26.83000000000004,54,79,6.19,VN,1678017652
325,goderich,43.7501,-81.7165,2.170000000000016,99,100,6.97,CA,1678017652
